 #--- Initial_population -----------------------------
     Omega        hs        n         ec0       alpha     beta      rat_ed    rat_ei
     33.40      1.19      0.24      1.04      0.20      1.22      1.10      0.57
     33.41      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.38      1.28      0.24      1.04      0.20      1.22      1.10      0.58
     33.42      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.41      1.28      0.24      1.04      0.20      1.21      1.10      0.57
     33.41      1.27      0.24      1.04      0.20      1.22      1.10      0.57
     33.42      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.22      0.24      1.04      0.20      1.23      1.10      0.58
     33.41      1.22      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.24      0.24      1.04      0.20      1.21      1.10      0.58
     33.42      1.23      0.24      1.04      0.21      1.23      1.10      0.58
     33.40      1.27      0.24      1.04      0.20      1.23      1.10      0.58
     33.41      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.22      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.23      1.10      0.57
     33.42      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.41      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.25      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.21      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.41      1.23      0.24      1.04      0.20      1.22      1.10      0.57

 #-----------Update Pop P_ran-----          19 /          20
     phi        hs        n         ec0       alpha     beta      rat_ei    rat_ed
 -------------------------------------------------------
     30.48      4.79      0.28      0.60      0.24      1.96      1.29      0.56
     38.59      1.63      0.32      0.83      0.22      1.68      1.13      0.53
     26.34      7.26      0.31      0.64      0.25      1.59      1.20      0.53

 #-----------Update Pop P_com-----          19 /          20
     Omega        hs        n         ec0       alpha     beta      rat_ed    rat_ei
 -------------------------------------------------------
     33.39      1.25      0.24      1.04      0.21      1.22      1.10      0.58
     33.42      1.27      0.24      1.04      0.20      1.21      1.10      0.58
     33.42      1.27      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.28      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.28      0.24      1.04      0.20      1.21      1.10      0.58
     33.43      1.24      0.24      1.04      0.20      1.23      1.10      0.58
     33.39      1.30      0.24      1.04      0.21      1.21      1.10      0.57
     33.42      1.28      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.24      0.24      1.05      0.20      1.22      1.10      0.58
     33.43      1.21      0.24      1.04      0.20      1.21      1.10      0.58
     33.41      1.30      0.24      1.04      0.20      1.23      1.10      0.57
     33.41      1.30      0.24      1.04      0.20      1.24      1.10      0.57
     33.41      1.29      0.24      1.04      0.20      1.22      1.10      0.58
     33.42      1.27      0.24      1.04      0.20      1.22      1.10      0.57
     33.41      1.29      0.24      1.03      0.20      1.23      1.10      0.58
     33.39      1.22      0.24      1.04      0.20      1.22      1.10      0.58
     33.37      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.25      0.24      1.04      0.21      1.24      1.10      0.57
     33.40      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.38      1.27      0.24      1.05      0.20      1.23      1.10      0.58
     33.41      1.28      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.23      1.10      0.57
     33.42      1.27      0.24      1.04      0.20      1.20      1.10      0.57
     33.41      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.30      0.24      1.04      0.20      1.23      1.10      0.58
     33.42      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.20      1.10      0.57
     33.38      1.29      0.24      1.04      0.20      1.24      1.10      0.57
     33.39      1.28      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.28      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.27      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.24      0.24      1.04      0.21      1.22      1.10      0.57
     33.41      1.27      0.24      1.04      0.20      1.24      1.10      0.58
     33.41      1.31      0.24      1.04      0.20      1.21      1.10      0.58
     33.41      1.21      0.24      1.04      0.20      1.23      1.10      0.58
     33.42      1.30      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.43      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.42      1.24      0.24      1.04      0.20      1.21      1.10      0.58
     33.42      1.29      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.42      1.22      0.24      1.04      0.20      1.20      1.10      0.58
     33.42      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.26      0.24      1.04      0.20      1.23      1.10      0.57
     33.41      1.24      0.24      1.04      0.20      1.24      1.10      0.58
     33.41      1.19      0.24      1.04      0.21      1.23      1.10      0.58
     33.44      1.23      0.24      1.04      0.20      1.21      1.10      0.57
     33.41      1.27      0.24      1.04      0.20      1.21      1.10      0.57

 #---------Update Pop P_eli-----          20 /          20
     Omega        hs        n         ec0       alpha     beta      rat_ei    rat_ed
 -----------------------------------------------------
     33.38      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.20      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.27      0.24      1.04      0.20      1.21      1.10      0.58


 #---------Update Pop P_mat-----          20 /          20
     Omega        hs        n         ec0       alpha     beta      rat_ei    rat_ed
 -----------------------------------------------------
     33.40      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.23      1.10      0.57
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.41      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.23      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.25      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.41      1.23      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.41      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.26      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.25      0.24      1.04      0.20      1.21      1.10      0.57
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.42      1.26      0.24      1.04      0.20      1.21      1.10      0.57
     33.41      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.23      0.24      1.04      0.20      1.21      1.10      0.57
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.20      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.23      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.28      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.22      0.24      1.04      0.20      1.21      1.10      0.57
     33.40      1.26      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.22      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.22      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.20      0.24      1.04      0.20      1.23      1.10      0.58
     33.41      1.24      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.23      1.10      0.57
     33.39      1.24      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.22      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.23      1.10      0.58
     33.41      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.26      0.24      1.04      0.20      1.21      1.10      0.57
     33.39      1.22      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.41      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.22      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.23      1.10      0.57
     33.39      1.24      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.20      0.24      1.04      0.20      1.23      1.10      0.58
     33.42      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.22      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.23      1.10      0.57
     33.40      1.19      0.24      1.04      0.20      1.23      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.23      1.10      0.58
     33.38      1.25      0.24      1.04      0.20      1.23      1.10      0.58
     33.38      1.24      0.24      1.04      0.20      1.21      1.10      0.58
     33.41      1.23      0.24      1.04      0.20      1.21      1.10      0.57
     33.42      1.28      0.24      1.04      0.20      1.21      1.10      0.57
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.57
     33.38      1.26      0.24      1.04      0.20      1.22      1.10      0.57
     33.41      1.23      0.24      1.04      0.20      1.21      1.10      0.57
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.23      0.24      1.04      0.20      1.21      1.10      0.57
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.24      0.24      1.04      0.20      1.23      1.10      0.58
     33.38      1.27      0.24      1.04      0.20      1.21      1.10      0.57
     33.40      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.23      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.41      1.24      0.24      1.04      0.20      1.21      1.10      0.57
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.23      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.26      0.24      1.04      0.20      1.23      1.10      0.58
     33.38      1.27      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.23      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.25      0.24      1.04      0.20      1.21      1.10      0.57
     33.39      1.21      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.22      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.25      0.24      1.04      0.20      1.22      1.10      0.57
     33.42      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.24      0.24      1.04      0.20      1.23      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.27      0.24      1.04      0.20      1.23      1.10      0.58
     33.38      1.27      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.41      1.26      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.23      0.24      1.04      0.20      1.23      1.10      0.58
     33.38      1.28      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.22      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.21      1.10      0.57
     33.39      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.24      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.22      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.23      1.10      0.57
     33.38      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.23      1.10      0.58
     33.41      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.22      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.21      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.22      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.41      1.26      0.24      1.04      0.20      1.21      1.10      0.57
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.22      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.23      0.24      1.04      0.20      1.21      1.10      0.58
     33.38      1.27      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.42      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.23      1.10      0.58
     33.41      1.21      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.23      1.10      0.58
     33.39      1.23      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.26      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.28      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.29      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.42      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.25      0.24      1.04      0.20      1.21      1.10      0.57
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.22      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.29      0.24      1.04      0.20      1.21      1.10      0.58
     33.41      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.27      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.23      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.21      1.10      0.57
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.24      0.24      1.04      0.20      1.21      1.10      0.57
     33.41      1.24      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.25      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.25      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.24      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.27      0.24      1.04      0.20      1.21      1.10      0.58
     33.38      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.25      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.27      0.24      1.04      0.20      1.21      1.10      0.58
     33.41      1.23      0.24      1.04      0.20      1.21      1.10      0.57
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.23      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.21      0.24      1.04      0.20      1.21      1.10      0.57
     33.40      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.42      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.25      0.24      1.04      0.20      1.23      1.10      0.58
     33.39      1.26      0.24      1.05      0.20      1.20      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.26      0.24      1.04      0.20      1.21      1.10      0.57
     33.38      1.24      0.24      1.04      0.20      1.23      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.28      0.24      1.04      0.20      1.21      1.10      0.57
     33.38      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.22      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.23      0.24      1.04      0.20      1.21      1.10      0.58
     33.41      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.22      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.27      0.24      1.04      0.20      1.23      1.10      0.58
     33.41      1.26      0.24      1.04      0.20      1.20      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.38      1.26      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.22      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.28      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.28      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.41      1.24      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.23      1.10      0.57
     33.38      1.27      0.24      1.04      0.20      1.21      1.10      0.58
     33.41      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.41      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.23      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.22      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.22      0.24      1.04      0.20      1.23      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.27      0.24      1.04      0.20      1.21      1.10      0.58
     33.38      1.27      0.24      1.04      0.20      1.23      1.10      0.57
     33.38      1.24      0.24      1.04      0.20      1.23      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.26      0.24      1.04      0.20      1.22      1.10      0.57
     33.38      1.28      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.22      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.23      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.27      0.24      1.04      0.20      1.23      1.10      0.58
     33.39      1.23      0.24      1.04      0.20      1.22      1.10      0.57
     33.39      1.25      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.21      1.10      0.57
     33.40      1.25      0.24      1.04      0.20      1.20      1.10      0.57
     33.39      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.25      0.24      1.04      0.20      1.22      1.10      0.58
     33.42      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.22      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.21      0.24      1.04      0.20      1.23      1.10      0.58
     33.40      1.26      0.24      1.04      0.20      1.21      1.10      0.57
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.23      0.24      1.04      0.20      1.22      1.10      0.57
     33.41      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.24      0.24      1.04      0.20      1.21      1.10      0.58
     33.42      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.40      1.20      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.39      1.26      0.24      1.04      0.20      1.22      1.10      0.58
     33.38      1.27      0.24      1.04      0.20      1.21      1.10      0.58
     33.40      1.25      0.24      1.04      0.20      1.21      1.10      0.58
     33.39      1.27      0.24      1.04      0.20      1.22      1.10      0.58
     33.41      1.24      0.24      1.04      0.20      1.22      1.10      0.58
